id,dirreccion,barrio,comuna,geometry
265,Honduras 5389,Palermo,Comuna 14,POINT (-58.43385498674629 -34.58608457725701)
266,Avellaneda 561,Caballito,Comuna 6,POINT (-58.439098351162066 -34.614477983049554)
267,Cerviño Av. 4800,Palermo,Comuna 14,POINT (-58.4249339831034 -34.57467480940475)
268,Tucuman 593,San Nicolas,Comuna 1,POINT (-58.37509537245675 -34.60100062398481)
269,"Martinez, Enrique, Gral. 1300",Colegiales,Comuna 13,POINT (-58.45882036312355 -34.57581527239713)
270,Costa Rica 4500,Palermo,Comuna 14,POINT (-58.42504124559515 -34.58955715595984)
271,"Gallardo, Angel Av. 861",Villa Crespo,Comuna 15,POINT (-58.4423401692969 -34.60634285734084)
272,"Fernandez De La Cruz, F., Gral. Av. 4600",Villa Soldati,Comuna 8,POINT (-58.45903058559061 -34.67326679910065)
273,Herrera 800,Barracas,Comuna 4,POINT (-58.37768626413583 -34.63813845934889)
274,Rivadavia Av. 2800,Balvanera,Comuna 3,POINT (-58.406068567501976 -34.61004074651246)
275,De Los Incas Av. 4400,Villa Ortuzar,Comuna 15,POINT (-58.473541122694776 -34.58091745410136)
276,Combate De Los Pozos 1800,Parque Patricios,Comuna 4,POINT (-58.391691036119994 -34.62940219919679)
277,"Obligado Rafael, Av.Costanera 6100",Belgrano,Comuna 13,POINT (-58.428467234020275 -34.55129110388979)
278,"Urquiza, Gral. 601",Balvanera,Comuna 3,POINT (-58.4094073288676 -34.61754282493678)
279,"Tornquist, Ernesto Av. 6380",Palermo,Comuna 14,POINT (-58.43541695291874 -34.55549930240268)
280,Combatientes De Malvinas Av. y Chorroarin Av.,Villa Ortuzar,Comuna 15,POINT (-58.470837416095755 -34.58741290413684)
281,Directorio Av. 684,Parque Chacabuco,Comuna 7,POINT (-58.436800077336635 -34.62852377319117)
282,24 De Noviembre 610,Balvanera,Comuna 3,POINT (-58.41094833708909 -34.61775959453224)
283,Chile 1100,Monserrat,Comuna 1,POINT (-58.381460675405435 -34.61651259705247)
284,Gallo 1600,Recoleta,Comuna 2,POINT (-58.40920121832513 -34.59177238293916)
285,Malabia 1800,Palermo,Comuna 14,POINT (-58.425209364330684 -34.58948317679395)
286,"Obligado Rafael, Av.Costanera 5700",Palermo,Comuna 14,POINT (-58.424814458638025 -34.55273174452573)
287,Pi Y Margall 741,La Boca,Comuna 4,POINT (-58.36604628320759 -34.627619966407416)
288,Tapalque 7491,Mataderos,Comuna 9,POINT (-58.5136946114862 -34.66448633342466)
289,Patricias Argentinas Av. 300,Caballito,Comuna 6,POINT (-58.433636047975185 -34.60523089064246)
290,Brandsen 773,La Boca,Comuna 4,POINT (-58.3644025785269 -34.636478622865695)
291,"Ambrosetti, Juan B. 776",Caballito,Comuna 6,POINT (-58.43876849049716 -34.60930038507829)
292,Rivadavia Av. 7812,Floresta,Comuna 10,POINT (-58.47479418193984 -34.632234282760216)
293,Cordoba Av. 790,San Nicolas,Comuna 1,POINT (-58.378056872032275 -34.598971023492986)
294,Rivadavia 900,Monserrat,Comuna 1,POINT (-58.379113380744876 -34.60831586002765)
295,Junin 800,Balvanera,Comuna 3,POINT (-58.397237091144284 -34.599820189209645)
296,Beruti 3300,Recoleta,Comuna 2,POINT (-58.40898754618231 -34.587646702816045)
297,"Paz, Gral. Av. 5000",Villa Urquiza,Comuna 12,POINT (-58.50897790937563 -34.56990534037106)
298,Rivadavia y Lima,San Nicolas,Comuna 1,POINT (-58.38198101064255 -34.60845241282035)
299,Finochietto Enrique Dr. 843,Barracas,Comuna 4,POINT (-58.37558670698713 -34.63024020321921)
300,Del Libertador Av. 8644,Nuñez,Comuna 13,POINT (-58.4666980014232 -34.5363217260433)
301,"Pellegrini, Carlos 897",Retiro,Comuna 1,POINT (-58.38128116605887 -34.59800144178993)
302,Monroe 5055,Villa Urquiza,Comuna 12,POINT (-58.48581134377683 -34.57393711387218)
303,San Martin 1200,Retiro,Comuna 1,POINT (-58.37386024855489 -34.59357953689564)
304,Cerviño Av. 4800,Palermo,Comuna 14,POINT (-58.4249339831034 -34.57467480940475)
305,"Ocampo, Victoria y Moreau De Justo, Alicia Av.",Puerto Madero,Comuna 1,POINT (-58.36737704674191 -34.60162483269475)
306,"Montes De Oca, Manuel Av. 94",Barracas,Comuna 4,POINT (-58.37722886813408 -34.62953087954954)
307,"Darquier, Juan 971",Barracas,Comuna 4,POINT (-58.37856123771072 -34.65379262942305)
308,Del Libertador Av. 3900,Palermo,Comuna 14,POINT (-58.423060154278154 -34.57105359852841)
309,"Madero, Eduardo Av. 900",Retiro,Comuna 1,POINT (-58.37007515839451 -34.59723847890897)
310,Fragata Pres. Sarmiento 1000,Caballito,Comuna 6,POINT (-58.4541388760693 -34.61291088919096)
311,"Salguero, Jeronimo 3172",Palermo,Comuna 14,POINT (-58.404123604380246 -34.5756415758769)
312,Santa Fe Av. 3272,Palermo,Comuna 14,POINT (-58.41120057841734 -34.58840263123035)
313,Posadas 1245,Retiro,Comuna 1,POINT (-58.3842604902817 -34.5891345275206)
314,"Alvear, Marcelo T. De 2385",Recoleta,Comuna 2,POINT (-58.40144934697662 -34.596349461369435)
315,Pueyrredon Av. 1425,Recoleta,Comuna 2,POINT (-58.40214836244685 -34.594209736482966)
316,La Plata Av. 1561,Parque Chacabuco,Comuna 7,POINT (-58.42545688017012 -34.633068051457705)
317,Pichincha Av. 1900,Parque Patricios,Comuna 4,POINT (-58.39593726599261 -34.63153909053091)
318,"Diaz, Cnel. Av. 2100",Palermo,Comuna 14,POINT (-58.4091851631493 -34.58759129584373)
319,"Leguizamon, Martiniano 1000",Liniers,Comuna 9,POINT (-58.513861813905265 -34.648579114090765)
320,Necochea 300,La Boca,Comuna 4,POINT (-58.364723239324775 -34.62788389175115)
321,"Ramos Mejia, Jose Maria, Dr. Av. 1600",Retiro,Comuna 1,POINT (-58.372250021579376 -34.58881628396064)
322,"Roca, Cnel. Av. 5252",Villa Riachuelo,Comuna 8,POINT (-58.45533867033191 -34.68470205321683)
323,Cordoba Av. 1798,San Nicolas,Comuna 1,POINT (-58.39267851125409 -34.59970095607047)
324,"Barco Centenera Del y Rabanal, Francisco, Intendente Av.",Nueva Pompeya,Comuna 4,POINT (-58.418281748474655 -34.655220413540505)
325,"Pellegrini, Carlos 1500",Retiro,Comuna 1,POINT (-58.3814556231281 -34.59038063350345)
326,Guzman Av. 700,Chacarita,Comuna 15,POINT (-58.45531187828498 -34.5873411385995)
327,"Figueroa Alcorta, Pres. Av. y Gonzalez, Julio Victor",Recoleta,Comuna 2,POINT (-58.39167852956542 -34.58367809771681)
328,"Roca, Cnel. Av. 4300",Villa Soldati,Comuna 8,POINT (-58.448045389324456 -34.67641705780915)
329,Cordoba Av. 6131,Chacarita,Comuna 15,POINT (-58.44675823275372 -34.583564870500894)
330,Acoyte 953,Caballito,Comuna 6,POINT (-58.44006681149415 -34.60698508661662)
331,"Figueroa Alcorta, Pres. Av. 2270",Recoleta,Comuna 2,POINT (-58.3938469129038 -34.58276042857882)
332,Cordoba Av. 1592,San Nicolas,Comuna 1,POINT (-58.38950655793037 -34.59950757515522)
333,Perdriel 36,Barracas,Comuna 4,POINT (-58.38811040652051 -34.63460305629428)
